time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p1 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p3 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4 = Tree[a, {a,a,a,Tree[a, {a}]}]
p5 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p6 = Tree[a, {Tree[a, {a}],a,a,a}]
p7 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8 = Tree[a, {Tree[a, {a,a,a,a}]}]
p9 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p10 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p11 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p12 = Tree[a, {a,Tree[a, {a}],a,a}]
p13 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p14 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p15 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p16 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p17 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p18 = Tree[a, {a,Tree[a, {a,a,a}]}]
p19 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p20 = Tree[a, {Tree[a, {a}],a,a,a}]
p21 = Tree[a, {a,Tree[a, {a}],a,a}]
p22 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p23 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p24 = Tree[a, {a,a,Tree[a, {a,a}]}]
p25 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p26 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p27 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p28 = Tree[a, {Tree[a, {a,a,a}],a}]
p29 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p30 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p31 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p32 = Tree[a, {a,a,a,Tree[a, {a}]}]
p33 = Tree[a, {a,a,Tree[a, {a,a}]}]
p34 = Tree[a, {a,a,a,a,a}]
p35 = Tree[a, {a,a,a,Tree[a, {a}]}]
p36 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p37 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p38 = Tree[a, {Tree[a, {a,a}],a,a}]
p39 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p40 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p41 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p42 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p43 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p44 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p45 = Tree[a, {a,Tree[a, {a,a}],a}]
